model,metric,n_seeds,source_minus_random_mean,source_minus_random_std,source_minus_random_minimum,source_minus_random_maximum,source_minus_random_ci95_low_t,source_minus_random_ci95_high_t
bert_tiny,accuracy,3.0,-0.012900967105440938,0.00684278517200091,-0.019665576154125786,-0.005982597363375031,-0.029899387804614368,0.004097453593732489
bert_tiny,balanced_accuracy,3.0,-0.0032179038178233497,0.002555997629312912,-0.005824098053040405,-0.000715249453855038,-0.009567353919943997,0.003131546284297297
bert_tiny,brier_score,3.0,0.010765142151975033,0.007014727515542603,0.0036280768591339004,0.0176507708735195,-0.006660407007037046,0.028190691310987115
bert_tiny,ece_10,3.0,0.030790820669787795,0.01650815153457465,0.0117316074273634,0.040601247559722095,-0.010217701108538178,0.07179934244811377
bert_tiny,false_negatives,3.0,135.66666666666666,87.7857239722572,38.0,208.0,-82.40516080612244,353.7384941394557
bert_tiny,false_positives,3.0,-71.33333333333333,40.15387071420803,-96.0,-25.0,-171.08107784724467,28.414411180578
bert_tiny,log_loss,3.0,0.03839727381189693,0.024153546562274274,0.013085572004179397,0.0611962073455011,-0.02160346207596614,0.09839800969976
bert_tiny,macro_f1,3.0,-0.01358070404984705,0.007443967568115323,-0.020913281791921978,-0.006030135207248155,-0.03207254461084872,0.004911136511154617
bert_tiny,macro_precision,3.0,-0.021783012284274927,0.01159312288553932,-0.03172302966707241,-0.009047854588415394,-0.05058192604119896,0.007015901472649105
bert_tiny,macro_recall,3.0,-0.0032179038178233497,0.002555997629312912,-0.005824098053040405,-0.000715249453855038,-0.009567353919943997,0.003131546284297297
bert_tiny,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
bert_tiny,true_negatives,3.0,-238.66666666666666,17.243356208503418,-254.0,-220.0,-281.5015381013542,-195.83179523197913
bert_tiny,true_positives,3.0,-831.3333333333334,46.14469994845923,-884.0,-798.0,-945.9631226727045,-716.7035439939623
bert_tiny,weighted_f1,3.0,-0.012451074198595702,0.006508844355739481,-0.018902821129680114,-0.005886596833191482,-0.02861993992260143,0.003717791525410026
cnn,accuracy,3.0,-0.007314165573180764,0.0036785156883003775,-0.0107967665437676,-0.0034668984383834367,-0.016452105117752955,0.0018237739713914264
cnn,balanced_accuracy,3.0,-0.003583726424560729,0.0069584439591007284,-0.007628452345546433,0.004451130735515618,-0.020869459478464122,0.013702006629342664
cnn,brier_score,3.0,0.005733468384390532,0.002169928729215845,0.0034438883459533,0.007759710685680397,0.0003430665963349809,0.011123870172446083
cnn,ece_10,3.0,0.0251477916364472,0.023635050185088262,0.006985742420057398,0.0518702610110924,-0.033564927847442166,0.08386051112033657
cnn,false_negatives,3.0,52.333333333333336,93.07165698177579,-49.0,134.0,-178.86947967018682,283.5361463368535
cnn,false_positives,3.0,-37.666666666666664,75.56674753708363,-118.0,32.0,-225.38487397785246,150.05154064451915
cnn,log_loss,3.0,0.023755100710245534,0.0076013882489205445,0.019109189354694994,0.032527299294603115,0.004872205499446204,0.04263799592104486
cnn,macro_f1,3.0,-0.007811739788767221,0.004224077432384722,-0.012136871146187667,-0.0036965453151818206,-0.018304929835907615,0.002681450258373173
cnn,macro_precision,3.0,-0.011838673261123422,0.011250202696503776,-0.019672163170758594,0.00105272419889757,-0.0397857260443437,0.01610837952209686
cnn,macro_recall,3.0,-0.003583726424560729,0.0069584439591007284,-0.007628452345546433,0.004451130735515618,-0.020869459478464122,0.013702006629342664
cnn,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
cnn,true_negatives,3.0,-272.3333333333333,35.529330606322056,-299.0,-232.0,-360.59308336574315,-184.07358330092347
cnn,true_positives,3.0,-748.0,99.51381813597547,-857.0,-662.0,-995.2060284718406,-500.79397152815943
cnn,weighted_f1,3.0,-0.007139962242664148,0.00344919617118088,-0.010585999576834926,-0.0036876158894779687,-0.01570824052671942,0.001428316041391123
fnn,accuracy,3.0,-0.010053724980190784,0.003589912330230662,-0.014121964307351131,-0.007330735139108646,-0.018971561581594278,-0.001135888378787293
fnn,balanced_accuracy,3.0,-0.003636640525372529,0.009160753417101597,-0.013256409875750386,0.004983025167550448,-0.02639321355684031,0.019119932506095248
fnn,brier_score,3.0,0.006443835228916464,0.003244568919957942,0.0034106570562056973,0.009864919026684897,-0.0016161207835240984,0.014503791241357027
fnn,ece_10,3.0,0.023233047276936664,0.01331566698912111,0.0090545614854875,0.035473493222573496,-0.00984490324784806,0.056310997801721385
fnn,false_negatives,3.0,84.66666666666667,35.360052790307506,59.0,125.0,-3.1725739592186954,172.50590729255202
fnn,false_positives,3.0,-56.666666666666664,60.51721518157733,-118.0,3.0,-206.9997631093325,93.66642977599918
fnn,log_loss,3.0,0.02336030737773794,0.012641558938494545,0.010583161313730993,0.03586176976255201,-0.008043065916690833,0.054763680672166706
fnn,macro_f1,3.0,-0.010444189831825565,0.004878796146991073,-0.016028769253185193,-0.007010022906415503,-0.022563791328508297,0.0016754116648571675
fnn,macro_precision,3.0,-0.016495829420847374,0.0024902377178697786,-0.018589175699577076,-0.013741904129778604,-0.02268192284703077,-0.01030973599466398
fnn,macro_recall,3.0,-0.003636640525372529,0.009160753417101597,-0.013256409875750386,0.004983025167550448,-0.02639321355684031,0.019119932506095248
fnn,n,3.0,-1005.6666666666666,90.34009814768486,-1073.0,-903.0,-1230.0839113585566,-781.2494219747765
fnn,true_negatives,3.0,-253.33333333333334,55.184538897533,-316.0,-212.0,-390.41932751424804,-116.24733915241862
fnn,true_positives,3.0,-780.3333333333334,113.75558594343109,-848.0,-649.0,-1062.9178742976662,-497.74879236900045
fnn,weighted_f1,3.0,-0.009681073383857411,0.003769333089851428,-0.013927215360569845,-0.006730004401874767,-0.019044615860505737,-0.0003175309072090838
lstm,accuracy,3.0,-0.011575400510141312,0.005856417933801067,-0.017379398122131184,-0.005667933387002,-0.02612354915526749,0.002972748134984866
lstm,balanced_accuracy,3.0,-0.004782231951599436,0.003039284661245518,-0.0075813382640144145,-0.0015493746359761529,-0.012332233595343755,0.002767769692144883
lstm,brier_score,3.0,0.0079425669500471,0.003781717352481762,0.004294237115237798,0.011844868820684602,-0.0014517397404334616,0.01733687364052766
lstm,ece_10,3.0,0.025435265542281132,0.026072917806995388,0.0078296252267713,0.0553882184367592,-0.03933345283744283,0.0902039839220051
lstm,false_negatives,3.0,102.33333333333333,104.46211434454757,7.0,214.0,-157.1649443591324,361.831611025799
lstm,false_positives,3.0,-56.333333333333336,64.06507108661734,-129.0,-8.0,-215.47979242556517,102.81312575889848
lstm,log_loss,3.0,0.02646045050070246,0.0050005546009324825,0.022212059361122388,0.0319712263309854,0.014038384236859457,0.03888251676454546
lstm,macro_f1,3.0,-0.01224962908255689,0.006177293697657832,-0.017974707818387836,-0.005702450990353047,-0.027594877313466354,0.0030956191483525724
lstm,macro_precision,3.0,-0.01940604327939066,0.01347957496019793,-0.03317361649477035,-0.0062342214517799865,-0.052891163776383796,0.014079077217602473
