split_protocol,model,metric,n_seeds,mean,std,minimum,maximum,ci95_low_t,ci95_high_t
random_stratified,bert_tiny,accuracy,3.0,0.9705157720424897,0.0030032410751680894,0.9672846237731734,0.973221858718042,0.9630553076301871,0.9779762364547924
random_stratified,bert_tiny,balanced_accuracy,3.0,0.9647740534415253,0.0024130197352866217,0.962584867476172,0.9673613831222528,0.958779780117902,0.9707683267651487
random_stratified,bert_tiny,brier_score,3.0,0.02473084081363437,0.0013051784890393014,0.0233408203945661,0.0259302053769525,0.021488597708446525,0.027973083918822212
random_stratified,bert_tiny,ece_10,3.0,0.010307965016221101,0.004673381912553171,0.0052400055444902,0.0144473539196351,-0.0013013592341641136,0.021917289266606316
random_stratified,bert_tiny,false_negatives,3.0,106.33333333333333,24.90649179096352,90.0,135.0,44.46217780800083,168.20448885866583
random_stratified,bert_tiny,false_positives,3.0,137.0,7.211102550927978,131.0,145.0,119.08662820994081,154.9133717900592
random_stratified,bert_tiny,log_loss,3.0,0.10333357381190589,0.0030400616599282064,0.099824246602459,0.1051620059664469,0.09578164199643192,0.11088550562737985
random_stratified,bert_tiny,macro_f1,3.0,0.9661825511020243,0.0033641731244890573,0.962584867476172,0.969250315768295,0.9578254817746241,0.9745396204294245
random_stratified,bert_tiny,macro_precision,3.0,0.9676510793549902,0.004505786124738297,0.962584867476172,0.971209968654118,0.9564580861214463,0.978844072588534
random_stratified,bert_tiny,macro_recall,3.0,0.9647740534415253,0.0024130197352866217,0.962584867476172,0.9673613831222528,0.958779780117902,0.9707683267651487
random_stratified,bert_tiny,n,3.0,8253.0,0.0,8253.0,8253.0,8253.0,8253.0
random_stratified,bert_tiny,true_negatives,3.0,2527.0,7.211102550927978,2519.0,2533.0,2509.086628209941,2544.913371790059
random_stratified,bert_tiny,true_positives,3.0,5482.666666666667,24.90649179096352,5454.0,5499.0,5420.795511141335,5544.537822191999
random_stratified,bert_tiny,weighted_f1,3.0,0.970472746862967,0.0029721082475075125,0.9672846237731734,0.9731669587649268,0.9630896206819294,0.9778558730440047
random_stratified,cnn,accuracy,3.0,0.9617108930086028,0.001950015381004604,0.9596510359869138,0.9635284139100933,0.956866786262156,0.9665549997550495
random_stratified,cnn,balanced_accuracy,3.0,0.9519867089311532,0.0007775345071682196,0.9513499006252628,0.952853215534375,0.9500552061397094,0.953918211722597
random_stratified,cnn,brier_score,3.0,0.03085830227537317,0.0018416215127673823,0.029132182680408,0.032796979641602,0.026283460824737023,0.035433143726009315
random_stratified,cnn,ece_10,3.0,0.011297973909595568,0.006940599272808115,0.003604582915859,0.0170890766500279,-0.005943430486133987,0.028539378305325123
random_stratified,cnn,false_negatives,3.0,115.0,28.827070610799147,84.0,141.0,43.389586776424224,186.6104132235758
random_stratified,cnn,false_positives,3.0,201.0,13.892443989449804,192.0,217.0,166.48925597742854,235.51074402257146
random_stratified,cnn,log_loss,3.0,0.11762609820579495,0.006592632288870094,0.1109883163479494,0.1241726337096353,0.10124909171730985,0.13400310469428003
random_stratified,cnn,macro_f1,3.0,0.9558364794968365,0.0020715721720293203,0.9536203034749572,0.9577242046951664,0.9506904089416859,0.9609825500519871
random_stratified,cnn,macro_precision,3.0,0.9600491182389428,0.004233300696776283,0.9559982411998924,0.9644438670378948,0.9495330163329019,0.9705652201449837
random_stratified,cnn,macro_recall,3.0,0.9519867089311532,0.0007775345071682196,0.9513499006252628,0.952853215534375,0.9500552061397094,0.953918211722597
random_stratified,cnn,n,3.0,8253.0,0.0,8253.0,8253.0,8253.0,8253.0
random_stratified,cnn,true_negatives,3.0,2463.0,13.892443989449804,2447.0,2472.0,2428.4892559774285,2497.5107440225715
random_stratified,cnn,true_positives,3.0,5474.0,28.827070610799147,5448.0,5505.0,5402.389586776424,5545.610413223576
random_stratified,cnn,weighted_f1,3.0,0.9615446882291337,0.0018782933171447122,0.9595476867402372,0.9632759744641856,0.956878748966286,0.9662106274919815
random_stratified,fnn,accuracy,3.0,0.9550870390565046,0.0020717021855862494,0.9537138010420452,0.9574700109051254,0.9499406455297742,0.960233432583235
random_stratified,fnn,balanced_accuracy,3.0,0.9472598605046271,0.001956882162661119,0.9451719231308604,0.9490520109481462,0.942398695726909,0.9521210252823451
random_stratified,fnn,brier_score,3.0,0.036612643314397765,0.001752318014097249,0.0346082539351538,0.0378544957491694,0.032259644052599346,0.040965642576196185
random_stratified,fnn,ece_10,3.0,0.0253581483443583,0.0034839547612545204,0.0223394175576497,0.0291704225736202,0.016703524935893825,0.034012771752822774
random_stratified,fnn,false_negatives,3.0,171.33333333333334,22.479620400116488,152.0,196.0,115.49086055157193,227.17580611509476
random_stratified,fnn,false_positives,3.0,199.33333333333334,13.503086067019396,186.0,213.0,165.78980800924,232.87685865742668
random_stratified,fnn,log_loss,3.0,0.137010689081654,0.005787139849576922,0.1304337412124644,0.1413232749159126,0.12263463673814684,0.15138674142516118
random_stratified,fnn,macro_f1,3.0,0.9484946571472458,0.002285562928215299,0.9471163730124392,0.95113291376532,0.9428170040846876,0.954172310209804
