run_id,config_name,split_protocol,model,evaluation_split,seed,metric,value
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,true_negatives,2634.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,false_positives,30.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,false_negatives,64.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,validation,42,true_positives,5525.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,n,8253.0
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,accuracy,0.986429177268872
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,balanced_accuracy,0.987131757361226
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,macro_precision,0.9821117272982884
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,macro_recall,0.987131757361226
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,macro_f1,0.984560785742719
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,weighted_f1,0.9864643194292384
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,brier_score,0.0128748534964906
20260822T212805Z-ifnd_random_stratified_v1-338ab3f2,ifnd_random_stratified_v1,random_stratified,source_only_logreg,test,42,log_loss,0.0551239296285039
