run_id,config_name,split_protocol,model,evaluation_split,seed,metric,value
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,brier_score,0.011797930106429612
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,log_loss,0.05081546770234892
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,ece_10,0.009464167135367331
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,true_negatives,2630.0
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,false_positives,34.0
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,false_negatives,69.0
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,validation,13,true_positives,5520.0
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,n,8253.0
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,accuracy,0.9857021689082758
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,balanced_accuracy,0.9855145000072536
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,macro_precision,0.9819632928016517
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,macro_recall,0.9855145000072536
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,macro_f1,0.9837086155198869
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,weighted_f1,0.9857284089598028
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,brier_score,0.013518042704803718
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,log_loss,0.05710838753235714
20260822T222040Z-ifnd_random_stratified_v1_s13-bf4a171b,ifnd_random_stratified_v1_s13,random_stratified,source_only_logreg,test,13,ece_10,0.010428531460225956
